Shannon,x,y,difference,SpeciesID
1.385673646,Penicillium-brevicompactum,Penicillium-verrucosum,0.748614636,Penicillium-brevicompactum
1.385788603,Penicillium-brevicompactum,Penicillium-verrucosum,0.666074158,Penicillium-brevicompactum
1.386218643,Penicillium-brevicompactum,Penicillium-verrucosum,0.653082486,Penicillium-brevicompactum
1.385673646,Penicillium-brevicompactum,Penicillium-polonicum,0.305470432,Penicillium-brevicompactum
1.385788603,Penicillium-brevicompactum,Penicillium-polonicum,0.292487765,Penicillium-brevicompactum
1.386218643,Penicillium-brevicompactum,Penicillium-polonicum,0.289603291,Penicillium-brevicompactum
1.385673646,Penicillium-brevicompactum,Penicillium-solitum,0.049359165,Penicillium-brevicompactum
1.385788603,Penicillium-brevicompactum,Penicillium-solitum,0.031796799,Penicillium-brevicompactum
1.386218643,Penicillium-brevicompactum,Penicillium-solitum,0.009596016,Penicillium-brevicompactum
1.385673646,Penicillium-brevicompactum,Penicillium-mb,0.304543018,Penicillium-brevicompactum
1.385788603,Penicillium-brevicompactum,Penicillium-mb,0.030125275,Penicillium-brevicompactum
1.386218643,Penicillium-brevicompactum,Penicillium-mb,0.008433976,Penicillium-brevicompactum
1.385673646,Penicillium-brevicompactum,Penicillium-commune,0.001399653,Penicillium-brevicompactum
1.385788603,Penicillium-brevicompactum,Penicillium-commune,0.001068351,Penicillium-brevicompactum
1.386218643,Penicillium-brevicompactum,Penicillium-commune,0.001192901,Penicillium-brevicompactum
1.385673646,Penicillium-brevicompactum,Penicillium-chrysogenum,0.434447155,Penicillium-brevicompactum
1.385788603,Penicillium-brevicompactum,Penicillium-chrysogenum,0.29480462,Penicillium-brevicompactum
1.386218643,Penicillium-brevicompactum,Penicillium-chrysogenum,0.212671329,Penicillium-brevicompactum
1.385673646,Penicillium-brevicompactum,Penicillium-cvjetkovicii,0.000958074,Penicillium-brevicompactum
1.385788603,Penicillium-brevicompactum,Penicillium-cvjetkovicii,0.000436247,Penicillium-brevicompactum
1.386218643,Penicillium-brevicompactum,Penicillium-cvjetkovicii,0.000201719,Penicillium-brevicompactum
0.951226491,Penicillium-chrysogenum,Penicillium-verrucosum,0.314167481,Penicillium-chrysogenum
1.090983983,Penicillium-chrysogenum,Penicillium-verrucosum,0.371269538,Penicillium-chrysogenum
1.173547315,Penicillium-chrysogenum,Penicillium-verrucosum,0.440411158,Penicillium-chrysogenum
0.951226491,Penicillium-chrysogenum,Penicillium-polonicum,-0.128976723,Penicillium-chrysogenum
1.090983983,Penicillium-chrysogenum,Penicillium-polonicum,-0.002316855,Penicillium-chrysogenum
1.173547315,Penicillium-chrysogenum,Penicillium-polonicum,0.076931962,Penicillium-chrysogenum
0.951226491,Penicillium-chrysogenum,Penicillium-solitum,-0.38508799,Penicillium-chrysogenum
1.090983983,Penicillium-chrysogenum,Penicillium-solitum,-0.263007821,Penicillium-chrysogenum
1.173547315,Penicillium-chrysogenum,Penicillium-solitum,-0.203075312,Penicillium-chrysogenum
0.951226491,Penicillium-chrysogenum,Penicillium-mb,-0.129904137,Penicillium-chrysogenum
1.090983983,Penicillium-chrysogenum,Penicillium-mb,-0.264679345,Penicillium-chrysogenum
1.173547315,Penicillium-chrysogenum,Penicillium-mb,-0.204237352,Penicillium-chrysogenum
0.951226491,Penicillium-chrysogenum,Penicillium-commune,-0.433047502,Penicillium-chrysogenum
1.090983983,Penicillium-chrysogenum,Penicillium-commune,-0.293736269,Penicillium-chrysogenum
1.173547315,Penicillium-chrysogenum,Penicillium-commune,-0.211478428,Penicillium-chrysogenum
0.951226491,Penicillium-chrysogenum,Penicillium-cvjetkovicii,-0.433489082,Penicillium-chrysogenum
1.090983983,Penicillium-chrysogenum,Penicillium-cvjetkovicii,-0.294368373,Penicillium-chrysogenum
1.173547315,Penicillium-chrysogenum,Penicillium-cvjetkovicii,-0.21246961,Penicillium-chrysogenum
0.951226491,Penicillium-chrysogenum,Penicillium-brevicompactum,-0.434447155,Penicillium-chrysogenum
1.090983983,Penicillium-chrysogenum,Penicillium-brevicompactum,-0.29480462,Penicillium-chrysogenum
1.173547315,Penicillium-chrysogenum,Penicillium-brevicompactum,-0.212671329,Penicillium-chrysogenum
1.384273993,Penicillium-commune,Penicillium-verrucosum,0.747214983,Penicillium-commune
1.384720252,Penicillium-commune,Penicillium-verrucosum,0.665005806,Penicillium-commune
1.385025743,Penicillium-commune,Penicillium-verrucosum,0.651889586,Penicillium-commune
1.384273993,Penicillium-commune,Penicillium-polonicum,0.304070779,Penicillium-commune
1.384720252,Penicillium-commune,Penicillium-polonicum,0.291419413,Penicillium-commune
1.385025743,Penicillium-commune,Penicillium-polonicum,0.28841039,Penicillium-commune
1.384273993,Penicillium-commune,Penicillium-solitum,0.047959512,Penicillium-commune
1.384720252,Penicillium-commune,Penicillium-solitum,0.030728448,Penicillium-commune
1.385025743,Penicillium-commune,Penicillium-solitum,0.008403116,Penicillium-commune
1.384273993,Penicillium-commune,Penicillium-mb,0.303143365,Penicillium-commune
1.384720252,Penicillium-commune,Penicillium-mb,0.029056923,Penicillium-commune
1.385025743,Penicillium-commune,Penicillium-mb,0.007241076,Penicillium-commune
1.384273993,Penicillium-commune,Penicillium-chrysogenum,0.433047502,Penicillium-commune
1.384720252,Penicillium-commune,Penicillium-chrysogenum,0.293736269,Penicillium-commune
1.385025743,Penicillium-commune,Penicillium-chrysogenum,0.211478428,Penicillium-commune
1.384273993,Penicillium-commune,Penicillium-cvjetkovicii,-0.00044158,Penicillium-commune
1.384720252,Penicillium-commune,Penicillium-cvjetkovicii,-0.000632105,Penicillium-commune
1.385025743,Penicillium-commune,Penicillium-cvjetkovicii,-0.000991182,Penicillium-commune
1.384273993,Penicillium-commune,Penicillium-brevicompactum,-0.001399653,Penicillium-commune
1.384720252,Penicillium-commune,Penicillium-brevicompactum,-0.001068351,Penicillium-commune
1.385025743,Penicillium-commune,Penicillium-brevicompactum,-0.001192901,Penicillium-commune
1.384715573,Penicillium-cvjetkovicii,Penicillium-verrucosum,0.747656563,Penicillium-cvjetkovicii
1.385352356,Penicillium-cvjetkovicii,Penicillium-verrucosum,0.665637911,Penicillium-cvjetkovicii
1.386016925,Penicillium-cvjetkovicii,Penicillium-verrucosum,0.652880767,Penicillium-cvjetkovicii
