"KEGG pathway ID"	"KEGG pathway name"	"KEGG main category"	"Gene ID(s)"	"Exact p-value"	"Adjusted p-value"	"# genes / category"	"# genes / input"
"04145"	"Phagosome"	"Cellular Processes"	"Pc15g00440 | Pc20g02810"	"0.02539675"	"0.2290312"	"2 / 20"	"2 / 40"
"00061"	"Fatty acid biosynthesis"	"Metabolism"	"Pc22g09030"	"0.02559895"	"0.2290312"	"1 / 2"	"1 / 40"
"00780"	"Biotin metabolism"	"Metabolism"	"Pc22g09030"	"0.03817186"	"0.2290312"	"1 / 3"	"1 / 40"
"01212"	"Fatty acid metabolism"	"Metabolism"	"Pc22g09030"	"0.06287268"	"0.2829271"	"1 / 5"	"1 / 40"
"00600"	"Sphingolipid metabolism"	"Metabolism"	"Pc22g14340"	"0.08699077"	"0.2842423"	"1 / 7"	"1 / 40"
"00190"	"Oxidative phosphorylation"	"Metabolism"	"Pc15g00440 | Pc18g01510"	"0.1023682"	"0.2842423"	"2 / 43"	"2 / 40"
"00670"	"One carbon pool by folate"	"Metabolism"	"Pc22g19100"	"0.1105387"	"0.2842423"	"1 / 9"	"1 / 40"
"00513"	"Various types of N-glycan biosynthesis"	"Metabolism"	"Pc16g12320"	"0.1335286"	"0.2896363"	"1 / 11"	"1 / 40"
"03060"	"Protein export"	"Genetic Information Processing"	"Pc20g02810"	"0.1448181"	"0.2896363"	"1 / 12"	"1 / 40"
"00510"	"N-Glycan biosynthesis"	"Metabolism"	"Pc16g12320"	"0.1992702"	"0.3060233"	"1 / 17"	"1 / 40"
"01100"	"Metabolic pathways"	"Metabolism"	"Pc15g00440 | Pc16g12320 | Pc18g01510 | Pc22g09030 | Pc22g14340 | Pc22g19100"	"0.2085428"	"0.3060233"	"6 / 325"	"6 / 40"
"00970"	"Aminoacyl-tRNA biosynthesis"	"Genetic Information Processing"	"Pc12g12720"	"0.2201466"	"0.3060233"	"1 / 19"	"1 / 40"
"03010"	"Ribosome"	"Genetic Information Processing"	"Pc13g11000 | Pc22g19050"	"0.2210168"	"0.3060233"	"2 / 69"	"2 / 40"
"04141"	"Protein processing in endoplasmic reticulum"	"Genetic Information Processing"	"Pc20g02810"	"0.4572456"	"0.5625023"	"1 / 46"	"1 / 40"
"00230"	"Purine metabolism"	"Metabolism"	"Pc22g19100"	"0.4861058"	"0.5625023"	"1 / 50"	"1 / 40"
"03040"	"Spliceosome"	"Genetic Information Processing"	"Pc20g10480"	"0.500002"	"0.5625023"	"1 / 52"	"1 / 40"
"03013"	"RNA transport"	"Genetic Information Processing"	"Pc15g00550"	"0.570466"	"0.6040228"	"1 / 63"	"1 / 40"
"01110"	"Biosynthesis of secondary metabolites"	"Metabolism"	"Pc22g19100"	"0.8269472"	"0.8269472"	"1 / 126"	"1 / 40"
