HOG	OG	Gene Tree Parent Clade	53503-Pc.singCopy	uniProt.taxonomy_id_500485
N0.HOG0000000	OG0000000	n0		Pc03g00020, Pc22g12560, Pc12g00350, Pc12g07050, Pc16g03350, Pc12g00820, Pc12g11990, Pc18g01150, Pc22g18720, Pc20g04920, Pc16g00850, Pc22g24220, Pc14g02260, Pc12g06600, Pc21g13180, Pc16g04480, Pc16g11670, Pc16g02820, Pc21g10500, Pc06g01070, Pc12g14890, Pc21g20360, Pc16g06630, Pc21g05310, Pc21g09220, Pc16g07090, Pc22g21580, Pc20g10660, Pc13g02570, Pc20g11070, Pc16g02690, Pc21g12990, Pc22g08560, Pc21g05100, Pc12g03190, Pc16g12280, Pc22g00230, Pc15g00120, Pc16g04700, Pc13g12730, Pc21g09630, Pc12g13380, Pc22g17370, Pc18g02270, Pc12g00860, Pc17g00530, Pc21g19260
N0.HOG0000001	OG0000001	n0		Pc21g00390, Pc21g12900, Pc21g22550, Pc20g15350, Pc13g02340, Pc21g13210, Pc12g02980, Pc16g10250, Pc18g01060, Pc16g00540, Pc21g00550, Pc12g07720, Pc16g06680, Pc21g12530, Pc16g06740, Pc21g02630, Pc13g07100, Pc18g02310, Pc21g14850, Pc13g05720, Pc12g09920, Pc17g01250, Pc17g00420, Pc22g26250, Pc16g15340, Pc14g02310, Pc12g06470, Pc21g06480, Pc21g10510, Pc03g00220, Pc06g02160, Pc17g00440, Pc22g26000, Pc17g00110, Pc24g01930, Pc19g00090, Pc21g00460, Pc19g00260, Pc19g00740, Pc24g01940, Pc21g08340, Pc21g11630, Pc12g02940, Pc21g22330, Pc21g10930
N0.HOG0000002	OG0000002	n0		Pc13g10850, Pc16g05670, Pc13g01920, Pc16g03650, Pc20g00130, Pc13g15450, Pc21g17850, Pc18g01360, Pc16g07410, Pc20g01530, Pc20g09500, Pc22g14640, Pc22g24230, Pc22g13770, Pc20g02440, Pc16g05260, Pc22g15360, Pc12g13540, Pc20g04030, Pc20g15750, Pc24g00960, Pc13g12490, Pc20g09100, Pc21g14040, Pc15g00090, Pc20g13650, Pc16g14440, Pc21g21590, Pc20g10820, Pc12g02080, Pc21g19770, Pc22g24680, Pc12g04270, Pc12g02140, Pc22g09740, Pc12g02880, Pc18g04390, Pc13g08350, Pc13g12960, Pc14g01980, Pc21g12210, Pc21g01730, Pc21g09680
N0.HOG0000003	OG0000003	n0		Pc21g02710, Pc13g07370, Pc22g22610, Pc20g05760, Pc14g00120, Pc21g09910, PchP450, Pc22g15410, Pc16g00360, Pc13g14380, Pc13g04310, Pc21g18080, Pc16g09680, Pc21g06580, Pc16g08850, Pc14g01030, Pc21g22790, Pc22g07370, Pc21g10830, Pc22g23500, Pc12g12330, Pc12g02570, Pc20g09940, Pc22g12100, Pc13g06690, Pc06g01520, Pc12g06380, Pc12g06400, Pc22g07440, Pc21g13380, Pc20g11260, Pc22g08950, Pc22g17460, Pc16g02990, Pc21g09770, Pc20g12140, Pc21g22320, Pc16g12170, Pc13g14720, Pc16g12030, Pc16g11620
N0.HOG0000004	OG0000004	n0		Pc21g15160, Pc21g00960, Pc12g11530, Pc16g04890, Pc21g03990, Pc22g23750, Pc21g05080, Pc21g03930, Pc16g11480, Pc14g00080, Pc16g13930, Pc12g05590, Pc12g01720, Pc22g04520, Pc16g15380, Pc21g17170, Pc16g11040, Pc22g21040, Pc16g15280, Pc15g01740, Pc21g13640, Pc16g03690, Pc20g04930, Pc21g16000, Pc21g12450, Pc21g05070, Pc22g22850, Pc22g08170, Pc16g00370, Pc16g03800, Pc13g04470, Pc13g08690, Pc21g04840, Pc22g18390, Pc21g12440
N0.HOG0000005	OG0000005	n1	53503-Pc.00g086080.m01.polypeptide.OG0005575	Pc16g14360
N0.HOG0000006	OG0000005	n2	53503-Pc.00g014330.m01.polypeptide.OG0005494	Pc13g04560, Pc12g08230, Pc21g14120, Pc16g04910, Pc21g07320, Pc22g08250, Pc14g00940, Pc21g13480, Pc21g12420, Pc14g00430, Pc22g23520, Pc21g15420, Pc20g01760, Pc13g09900, Pc16g10850, Pc12g06260, Pc20g02450, Pc22g23580, Pc12g11120, Pc06g01010, Pc12g10360, Pc13g03930, Pc16g13890, Pc22g23720, Pc12g03500, Pc16g14370, Pc12g02460, Pc20g06610, Pc16g10710, Pc16g04060, Pc20g03430
N0.HOG0000007	OG0000006	n0		Pc21g08080, Pc22g15110, Pc16g12520, Pc21g13160, Pc18g06670, Pc13g05000, Pc22g25700, Pc22g02680, Pc13g11810, Pc12g14800, Pc12g07860, Pc06g01460, Pc12g02740, Pc21g09570, Pc22g18660, Pc22g16180, Pc16g02490, Pc16g11130, Pc22g05290, Pc13g11710, Pc22g16360, Pc22g08670, Pc13g02250, Pc20g09710, Pc21g16510, Pc13g10220, Pc16g02870, Pc22g25720, Pc13g01270, Pc20g01200, Pc13g08460, Pc12g07640, Pc12g03720, Pc24g00660
N0.HOG0000008	OG0000007	n1	53503-Pc.00g038410.m01.polypeptide.OG0003121	Pc16g13950
N0.HOG0000009	OG0000007	n3		Pc22g23340, Pc22g16670, Pc16g06940, Pc16g02680
N0.HOG0000010	OG0000007	n7	53503-Pc.00g003300.m01.polypeptide.OG0001789	Pc21g05850, Pc22g00100, Pc14g00060, Pc21g22740, Pc20g14110, Pc12g13630, Pc12g07380, Pc13g06900, Pc22g20030, Pc22g13740, Pc16g05910, Pc21g05810, Pc20g09800, Pc13g04430, Pc21g04580, Pc22g14520, Pc22g09570, Pc21g21530, Pc20g10810, Pc12g01830, Pc21g00890, Pc12g13800, Pc13g10640
N0.HOG0000011	OG0000007	n30	53503-Pc.00g020070.m01.polypeptide.OG0002212	Pc12g02660, Pc21g10940
N0.HOG0000012	OG0000008	n0		Pc24g00060, Pc24g02830, Pc21g00110, Pc24g00320, Pc03g00130, Pc23g00770, Pc24g00670, Pc24g02550, Pc24g01290, Pc19g00630, Pc13g00430, Pc04g00020, Pc24g00850, Pc24g01730, Pc24g01500, Pc15g01270, Pc17g00580, Pc37g00010, Pc19g00480, Pc24g01170, Pc17g00490, Pc17g00260, Pc24g01550, Pc17g01270, Pc23g00280, Pc17g01120, Pc14g02230, Pc24g00450, Pc19g00030, Pc24g01840, Pc23g00130, Pc24g02090
N0.HOG0000013	OG0000009	n0		Pc20g13570, Pc16g07000, Pc12g02250, Pc18g05300, Pc20g00310, Pc19g00420, Pc21g09730, Pc21g16840, Pc21g22350, Pc12g06270, Pc12g06280, Pc16g08590, Pc21g22450, Pc12g06330, Pc15g00900, Pc22g00240, Pc16g11280, Pc12g14910, Pc22g17350, Pc21g16430, Pc21g17680, Pc16g12960, Pc13g10320, Pc20g05750, Pc22g22870, Pc16g12940, Pc14g00340, Pc16g10650, Pc16g11240, Pc21g04030, Pc20g04280
