Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	uniProt.taxonomy_id_500485	n0	1.0	Terminal	uniProt_taxonomy_id_500485_Pc03g00020	uniProt_taxonomy_id_500485_Pc22g12560, uniProt_taxonomy_id_500485_Pc12g00350, uniProt_taxonomy_id_500485_Pc12g07050, uniProt_taxonomy_id_500485_Pc16g03350, uniProt_taxonomy_id_500485_Pc12g00820, uniProt_taxonomy_id_500485_Pc12g11990, uniProt_taxonomy_id_500485_Pc18g01150, uniProt_taxonomy_id_500485_Pc22g18720, uniProt_taxonomy_id_500485_Pc20g04920, uniProt_taxonomy_id_500485_Pc16g00850, uniProt_taxonomy_id_500485_Pc22g24220, uniProt_taxonomy_id_500485_Pc14g02260, uniProt_taxonomy_id_500485_Pc12g06600, uniProt_taxonomy_id_500485_Pc21g13180, uniProt_taxonomy_id_500485_Pc16g04480, uniProt_taxonomy_id_500485_Pc16g11670, uniProt_taxonomy_id_500485_Pc16g02820, uniProt_taxonomy_id_500485_Pc21g10500, uniProt_taxonomy_id_500485_Pc06g01070, uniProt_taxonomy_id_500485_Pc12g14890, uniProt_taxonomy_id_500485_Pc21g20360, uniProt_taxonomy_id_500485_Pc16g06630, uniProt_taxonomy_id_500485_Pc21g05310, uniProt_taxonomy_id_500485_Pc21g09220, uniProt_taxonomy_id_500485_Pc16g07090, uniProt_taxonomy_id_500485_Pc22g21580, uniProt_taxonomy_id_500485_Pc20g10660, uniProt_taxonomy_id_500485_Pc13g02570, uniProt_taxonomy_id_500485_Pc20g11070, uniProt_taxonomy_id_500485_Pc16g02690, uniProt_taxonomy_id_500485_Pc21g12990, uniProt_taxonomy_id_500485_Pc22g08560, uniProt_taxonomy_id_500485_Pc21g05100, uniProt_taxonomy_id_500485_Pc12g03190, uniProt_taxonomy_id_500485_Pc16g12280, uniProt_taxonomy_id_500485_Pc22g00230, uniProt_taxonomy_id_500485_Pc15g00120, uniProt_taxonomy_id_500485_Pc16g04700, uniProt_taxonomy_id_500485_Pc13g12730, uniProt_taxonomy_id_500485_Pc21g09630, uniProt_taxonomy_id_500485_Pc12g13380, uniProt_taxonomy_id_500485_Pc22g17370, uniProt_taxonomy_id_500485_Pc18g02270, uniProt_taxonomy_id_500485_Pc12g00860, uniProt_taxonomy_id_500485_Pc17g00530, uniProt_taxonomy_id_500485_Pc21g19260
OG0000000	uniProt.taxonomy_id_500485	n1	1.0	Terminal	uniProt_taxonomy_id_500485_Pc22g12560	uniProt_taxonomy_id_500485_Pc12g00350, uniProt_taxonomy_id_500485_Pc12g07050, uniProt_taxonomy_id_500485_Pc16g03350, uniProt_taxonomy_id_500485_Pc12g00820, uniProt_taxonomy_id_500485_Pc12g11990, uniProt_taxonomy_id_500485_Pc18g01150, uniProt_taxonomy_id_500485_Pc22g18720, uniProt_taxonomy_id_500485_Pc20g04920, uniProt_taxonomy_id_500485_Pc16g00850, uniProt_taxonomy_id_500485_Pc22g24220, uniProt_taxonomy_id_500485_Pc14g02260, uniProt_taxonomy_id_500485_Pc12g06600, uniProt_taxonomy_id_500485_Pc21g13180, uniProt_taxonomy_id_500485_Pc16g04480, uniProt_taxonomy_id_500485_Pc16g11670, uniProt_taxonomy_id_500485_Pc16g02820, uniProt_taxonomy_id_500485_Pc21g10500, uniProt_taxonomy_id_500485_Pc06g01070, uniProt_taxonomy_id_500485_Pc12g14890, uniProt_taxonomy_id_500485_Pc21g20360, uniProt_taxonomy_id_500485_Pc16g06630, uniProt_taxonomy_id_500485_Pc21g05310, uniProt_taxonomy_id_500485_Pc21g09220, uniProt_taxonomy_id_500485_Pc16g07090, uniProt_taxonomy_id_500485_Pc22g21580, uniProt_taxonomy_id_500485_Pc20g10660, uniProt_taxonomy_id_500485_Pc13g02570, uniProt_taxonomy_id_500485_Pc20g11070, uniProt_taxonomy_id_500485_Pc16g02690, uniProt_taxonomy_id_500485_Pc21g12990, uniProt_taxonomy_id_500485_Pc22g08560, uniProt_taxonomy_id_500485_Pc21g05100, uniProt_taxonomy_id_500485_Pc12g03190, uniProt_taxonomy_id_500485_Pc16g12280, uniProt_taxonomy_id_500485_Pc22g00230, uniProt_taxonomy_id_500485_Pc15g00120, uniProt_taxonomy_id_500485_Pc16g04700, uniProt_taxonomy_id_500485_Pc13g12730, uniProt_taxonomy_id_500485_Pc21g09630, uniProt_taxonomy_id_500485_Pc12g13380, uniProt_taxonomy_id_500485_Pc22g17370, uniProt_taxonomy_id_500485_Pc18g02270, uniProt_taxonomy_id_500485_Pc12g00860, uniProt_taxonomy_id_500485_Pc17g00530, uniProt_taxonomy_id_500485_Pc21g19260
OG0000000	uniProt.taxonomy_id_500485	n2	1.0	Terminal	uniProt_taxonomy_id_500485_Pc12g00350, uniProt_taxonomy_id_500485_Pc12g07050, uniProt_taxonomy_id_500485_Pc16g03350, uniProt_taxonomy_id_500485_Pc12g00820, uniProt_taxonomy_id_500485_Pc12g11990, uniProt_taxonomy_id_500485_Pc18g01150, uniProt_taxonomy_id_500485_Pc22g18720, uniProt_taxonomy_id_500485_Pc20g04920, uniProt_taxonomy_id_500485_Pc16g00850, uniProt_taxonomy_id_500485_Pc22g24220, uniProt_taxonomy_id_500485_Pc14g02260, uniProt_taxonomy_id_500485_Pc12g06600, uniProt_taxonomy_id_500485_Pc21g13180, uniProt_taxonomy_id_500485_Pc16g04480, uniProt_taxonomy_id_500485_Pc16g11670, uniProt_taxonomy_id_500485_Pc16g02820, uniProt_taxonomy_id_500485_Pc21g10500, uniProt_taxonomy_id_500485_Pc06g01070, uniProt_taxonomy_id_500485_Pc12g14890, uniProt_taxonomy_id_500485_Pc21g20360, uniProt_taxonomy_id_500485_Pc16g06630, uniProt_taxonomy_id_500485_Pc21g05310, uniProt_taxonomy_id_500485_Pc21g09220, uniProt_taxonomy_id_500485_Pc16g07090, uniProt_taxonomy_id_500485_Pc22g21580, uniProt_taxonomy_id_500485_Pc20g10660	uniProt_taxonomy_id_500485_Pc13g02570, uniProt_taxonomy_id_500485_Pc20g11070, uniProt_taxonomy_id_500485_Pc16g02690, uniProt_taxonomy_id_500485_Pc21g12990, uniProt_taxonomy_id_500485_Pc22g08560, uniProt_taxonomy_id_500485_Pc21g05100, uniProt_taxonomy_id_500485_Pc12g03190, uniProt_taxonomy_id_500485_Pc16g12280, uniProt_taxonomy_id_500485_Pc22g00230, uniProt_taxonomy_id_500485_Pc15g00120, uniProt_taxonomy_id_500485_Pc16g04700, uniProt_taxonomy_id_500485_Pc13g12730, uniProt_taxonomy_id_500485_Pc21g09630, uniProt_taxonomy_id_500485_Pc12g13380, uniProt_taxonomy_id_500485_Pc22g17370, uniProt_taxonomy_id_500485_Pc18g02270, uniProt_taxonomy_id_500485_Pc12g00860, uniProt_taxonomy_id_500485_Pc17g00530, uniProt_taxonomy_id_500485_Pc21g19260
OG0000000	uniProt.taxonomy_id_500485	n3	1.0	Terminal	uniProt_taxonomy_id_500485_Pc12g00350, uniProt_taxonomy_id_500485_Pc12g07050, uniProt_taxonomy_id_500485_Pc16g03350, uniProt_taxonomy_id_500485_Pc12g00820, uniProt_taxonomy_id_500485_Pc12g11990, uniProt_taxonomy_id_500485_Pc18g01150, uniProt_taxonomy_id_500485_Pc22g18720, uniProt_taxonomy_id_500485_Pc20g04920, uniProt_taxonomy_id_500485_Pc16g00850, uniProt_taxonomy_id_500485_Pc22g24220, uniProt_taxonomy_id_500485_Pc14g02260, uniProt_taxonomy_id_500485_Pc12g06600, uniProt_taxonomy_id_500485_Pc21g13180, uniProt_taxonomy_id_500485_Pc16g04480, uniProt_taxonomy_id_500485_Pc16g11670, uniProt_taxonomy_id_500485_Pc16g02820, uniProt_taxonomy_id_500485_Pc21g10500, uniProt_taxonomy_id_500485_Pc06g01070, uniProt_taxonomy_id_500485_Pc12g14890, uniProt_taxonomy_id_500485_Pc21g20360, uniProt_taxonomy_id_500485_Pc16g06630, uniProt_taxonomy_id_500485_Pc21g05310, uniProt_taxonomy_id_500485_Pc21g09220, uniProt_taxonomy_id_500485_Pc16g07090, uniProt_taxonomy_id_500485_Pc22g21580	uniProt_taxonomy_id_500485_Pc20g10660
OG0000000	uniProt.taxonomy_id_500485	n4	1.0	Terminal	uniProt_taxonomy_id_500485_Pc12g00350, uniProt_taxonomy_id_500485_Pc12g07050, uniProt_taxonomy_id_500485_Pc16g03350, uniProt_taxonomy_id_500485_Pc12g00820, uniProt_taxonomy_id_500485_Pc12g11990, uniProt_taxonomy_id_500485_Pc18g01150, uniProt_taxonomy_id_500485_Pc22g18720, uniProt_taxonomy_id_500485_Pc20g04920, uniProt_taxonomy_id_500485_Pc16g00850, uniProt_taxonomy_id_500485_Pc22g24220, uniProt_taxonomy_id_500485_Pc14g02260, uniProt_taxonomy_id_500485_Pc12g06600, uniProt_taxonomy_id_500485_Pc21g13180, uniProt_taxonomy_id_500485_Pc16g04480, uniProt_taxonomy_id_500485_Pc16g11670, uniProt_taxonomy_id_500485_Pc16g02820	uniProt_taxonomy_id_500485_Pc21g10500, uniProt_taxonomy_id_500485_Pc06g01070, uniProt_taxonomy_id_500485_Pc12g14890, uniProt_taxonomy_id_500485_Pc21g20360, uniProt_taxonomy_id_500485_Pc16g06630, uniProt_taxonomy_id_500485_Pc21g05310, uniProt_taxonomy_id_500485_Pc21g09220, uniProt_taxonomy_id_500485_Pc16g07090, uniProt_taxonomy_id_500485_Pc22g21580
OG0000000	uniProt.taxonomy_id_500485	n5	1.0	Terminal	uniProt_taxonomy_id_500485_Pc12g00350, uniProt_taxonomy_id_500485_Pc12g07050, uniProt_taxonomy_id_500485_Pc16g03350, uniProt_taxonomy_id_500485_Pc12g00820, uniProt_taxonomy_id_500485_Pc12g11990	uniProt_taxonomy_id_500485_Pc18g01150, uniProt_taxonomy_id_500485_Pc22g18720, uniProt_taxonomy_id_500485_Pc20g04920, uniProt_taxonomy_id_500485_Pc16g00850, uniProt_taxonomy_id_500485_Pc22g24220, uniProt_taxonomy_id_500485_Pc14g02260, uniProt_taxonomy_id_500485_Pc12g06600, uniProt_taxonomy_id_500485_Pc21g13180, uniProt_taxonomy_id_500485_Pc16g04480, uniProt_taxonomy_id_500485_Pc16g11670, uniProt_taxonomy_id_500485_Pc16g02820
OG0000000	uniProt.taxonomy_id_500485	n6	1.0	Terminal	uniProt_taxonomy_id_500485_Pc12g00350, uniProt_taxonomy_id_500485_Pc12g07050, uniProt_taxonomy_id_500485_Pc16g03350, uniProt_taxonomy_id_500485_Pc12g00820	uniProt_taxonomy_id_500485_Pc12g11990
OG0000000	uniProt.taxonomy_id_500485	n7	1.0	Terminal	uniProt_taxonomy_id_500485_Pc12g00350, uniProt_taxonomy_id_500485_Pc12g07050	uniProt_taxonomy_id_500485_Pc16g03350, uniProt_taxonomy_id_500485_Pc12g00820
OG0000000	uniProt.taxonomy_id_500485	n8	1.0	Terminal	uniProt_taxonomy_id_500485_Pc12g00350	uniProt_taxonomy_id_500485_Pc12g07050
OG0000000	uniProt.taxonomy_id_500485	n9	1.0	Terminal	uniProt_taxonomy_id_500485_Pc16g03350	uniProt_taxonomy_id_500485_Pc12g00820
