Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	46	46
OG0000001	44	44
OG0000002	42	42
OG0000003	40	40
OG0000004	34	34
OG0000005	31	31
OG0000006	33	33
OG0000007	29	29
OG0000008	31	31
OG0000009	30	30
OG0000010	30	30
OG0000011	27	27
OG0000012	26	26
OG0000013	26	26
OG0000014	27	27
OG0000015	23	23
OG0000016	22	22
OG0000017	24	24
OG0000018	24	24
OG0000019	24	24
OG0000020	24	24
OG0000021	23	23
OG0000022	23	23
OG0000023	21	21
OG0000024	22	22
OG0000025	22	22
OG0000026	20	20
OG0000027	19	19
OG0000028	21	21
OG0000029	21	21
OG0000030	21	21
OG0000031	20	20
OG0000032	17	17
OG0000033	19	19
OG0000034	19	19
OG0000035	19	19
OG0000036	19	19
OG0000037	15	15
OG0000038	18	18
OG0000039	18	18
OG0000040	18	18
OG0000041	17	17
OG0000042	17	17
OG0000043	17	17
OG0000044	17	17
OG0000045	15	15
OG0000046	15	15
OG0000047	15	15
OG0000048	16	16
OG0000049	16	16
OG0000050	16	16
OG0000051	16	16
OG0000052	16	16
OG0000053	15	15
OG0000054	15	15
OG0000055	13	13
OG0000056	13	13
OG0000057	13	13
OG0000058	14	14
OG0000059	14	14
OG0000060	14	14
OG0000061	14	14
OG0000062	11	11
OG0000063	9	9
OG0000064	11	11
OG0000065	12	12
OG0000066	12	12
OG0000067	13	13
OG0000068	13	13
OG0000069	13	13
OG0000070	13	13
OG0000071	13	13
OG0000072	13	13
OG0000073	11	11
OG0000074	10	10
OG0000075	10	10
OG0000076	11	11
OG0000077	11	11
OG0000078	12	12
OG0000079	12	12
OG0000080	12	12
OG0000081	12	12
OG0000082	12	12
OG0000083	12	12
OG0000084	10	10
OG0000085	6	6
OG0000086	10	10
OG0000087	10	10
OG0000088	11	11
OG0000089	11	11
OG0000090	11	11
OG0000091	11	11
OG0000092	11	11
OG0000093	11	11
OG0000094	11	11
OG0000095	11	11
OG0000096	11	11
OG0000097	9	9
OG0000098	5	5
OG0000099	6	6
OG0000100	9	9
OG0000101	9	9
OG0000102	9	9
OG0000103	10	10
OG0000104	10	10
OG0000105	10	10
OG0000106	10	10
OG0000107	8	8
OG0000108	8	8
OG0000109	8	8
OG0000110	7	7
OG0000111	5	5
OG0000112	6	6
OG0000113	8	8
OG0000114	8	8
OG0000115	8	8
OG0000116	8	8
OG0000117	9	9
OG0000118	9	9
OG0000119	9	9
OG0000120	9	9
OG0000121	9	9
OG0000122	9	9
OG0000123	9	9
OG0000124	9	9
OG0000125	7	7
OG0000126	6	6
OG0000127	6	6
OG0000128	6	6
OG0000129	7	7
OG0000130	8	8
OG0000131	8	8
OG0000132	8	8
OG0000133	8	8
OG0000134	8	8
OG0000135	8	8
OG0000136	8	8
OG0000137	8	8
OG0000138	8	8
OG0000139	8	8
OG0000140	8	8
OG0000141	8	8
OG0000142	8	8
OG0000143	8	8
OG0000144	8	8
OG0000145	8	8
OG0000146	6	6
OG0000147	5	5
OG0000148	6	6
OG0000149	6	6
OG0000150	6	6
OG0000151	5	5
OG0000152	6	6
OG0000153	6	6
OG0000154	6	6
OG0000155	6	6
OG0000156	6	6
OG0000157	7	7
OG0000158	7	7
OG0000159	7	7
OG0000160	7	7
OG0000161	7	7
OG0000162	7	7
OG0000163	7	7
OG0000164	7	7
OG0000165	7	7
OG0000166	7	7
OG0000167	7	7
OG0000168	7	7
OG0000169	7	7
OG0000170	7	7
OG0000171	5	5
OG0000172	5	5
OG0000173	5	5
OG0000174	5	5
OG0000175	3	3
OG0000176	5	5
OG0000177	5	5
OG0000178	5	5
OG0000179	3	3
OG0000180	5	5
OG0000181	5	5
OG0000182	5	5
OG0000183	5	5
OG0000184	5	5
OG0000185	5	5
OG0000186	5	5
OG0000187	5	5
OG0000188	4	4
OG0000189	5	5
OG0000190	5	5
OG0000191	5	5
OG0000192	6	6
OG0000193	6	6
OG0000194	6	6
OG0000195	6	6
OG0000196	6	6
OG0000197	6	6
OG0000198	6	6
OG0000199	6	6
OG0000200	6	6
OG0000201	6	6
OG0000202	6	6
OG0000203	6	6
OG0000204	6	6
OG0000205	6	6
OG0000206	6	6
OG0000207	6	6
OG0000208	4	4
OG0000209	4	4
OG0000210	3	3
OG0000211	4	4
OG0000212	4	4
OG0000213	4	4
OG0000214	3	3
OG0000215	4	4
OG0000216	4	4
OG0000217	4	4
OG0000218	4	4
OG0000219	4	4
OG0000220	4	4
OG0000221	3	3
OG0000222	2	2
OG0000223	4	4
OG0000224	4	4
OG0000225	4	4
OG0000226	4	4
OG0000227	4	4
OG0000228	4	4
OG0000229	3	3
OG0000230	3	3
OG0000231	4	4
OG0000232	4	4
OG0000233	4	4
OG0000234	4	4
OG0000235	5	5
OG0000236	5	5
OG0000237	5	5
OG0000238	5	5
OG0000239	5	5
OG0000240	5	5
OG0000241	5	5
OG0000242	5	5
OG0000243	5	5
OG0000244	5	5
OG0000245	5	5
OG0000246	5	5
OG0000247	5	5
OG0000248	5	5
OG0000249	5	5
OG0000250	5	5
OG0000251	5	5
OG0000252	5	5
OG0000253	5	5
OG0000254	5	5
OG0000255	5	5
OG0000256	5	5
OG0000257	5	5
OG0000258	5	5
OG0000259	5	5
OG0000260	5	5
OG0000261	5	5
OG0000262	5	5
OG0000263	2	2
OG0000264	3	3
OG0000265	3	3
OG0000266	2	2
OG0000267	3	3
OG0000268	3	3
OG0000269	3	3
OG0000270	3	3
OG0000271	2	2
OG0000272	3	3
OG0000273	2	2
OG0000274	2	2
OG0000275	2	2
OG0000276	2	2
OG0000277	3	3
OG0000278	3	3
OG0000279	3	3
OG0000280	3	3
OG0000281	3	3
OG0000282	3	3
OG0000283	3	3
OG0000284	3	3
OG0000285	2	2
OG0000286	2	2
OG0000287	3	3
OG0000288	3	3
OG0000289	3	3
OG0000290	3	3
OG0000291	2	2
OG0000292	3	3
OG0000293	2	2
OG0000294	2	2
OG0000295	3	3
OG0000296	2	2
OG0000297	2	2
OG0000298	3	3
OG0000299	3	3
OG0000300	3	3
OG0000301	2	2
OG0000302	3	3
OG0000303	2	2
OG0000304	3	3
OG0000305	3	3
OG0000306	3	3
OG0000307	3	3
OG0000308	3	3
OG0000309	3	3
OG0000310	3	3
OG0000311	2	2
OG0000312	3	3
OG0000313	3	3
OG0000314	3	3
OG0000315	2	2
OG0000316	3	3
OG0000317	3	3
OG0000318	3	3
OG0000319	3	3
OG0000320	3	3
OG0000321	3	3
OG0000322	2	2
OG0000323	3	3
OG0000324	2	2
OG0000325	3	3
OG0000326	3	3
OG0000327	3	3
OG0000328	3	3
OG0000329	2	2
OG0000330	3	3
OG0000331	3	3
OG0000332	3	3
OG0000333	3	3
OG0000334	2	2
OG0000335	3	3
OG0000336	3	3
OG0000337	3	3
OG0000338	3	3
OG0000339	3	3
OG0000340	3	3
OG0000341	3	3
OG0000342	4	4
OG0000343	4	4
OG0000344	4	4
OG0000345	4	4
OG0000346	4	4
OG0000347	4	4
OG0000348	4	4
OG0000349	4	4
OG0000350	4	4
OG0000351	4	4
OG0000352	4	4
OG0000353	4	4
OG0000354	4	4
OG0000355	4	4
OG0000356	4	4
OG0000357	4	4
OG0000358	4	4
OG0000359	4	4
OG0000360	4	4
OG0000361	4	4
OG0000362	4	4
OG0000363	4	4
OG0000364	4	4
OG0000365	4	4
OG0000366	4	4
OG0000367	4	4
OG0000368	4	4
OG0000369	4	4
OG0000370	4	4
OG0000371	4	4
OG0000372	4	4
OG0000373	4	4
OG0000374	4	4
OG0000375	4	4
OG0000376	4	4
OG0000377	4	4
OG0000378	4	4
OG0000379	4	4
OG0000380	4	4
OG0000381	4	4
OG0000382	4	4
OG0000383	1	1
OG0000384	1	1
OG0000385	2	2
OG0000386	2	2
OG0000387	1	1
OG0000388	2	2
OG0000389	1	1
OG0000390	2	2
OG0000391	1	1
OG0000392	1	1
OG0000393	2	2
OG0000394	2	2
OG0000395	2	2
OG0000396	2	2
OG0000397	1	1
OG0000398	2	2
OG0000399	2	2
OG0000400	2	2
OG0000401	1	1
OG0000402	1	1
OG0000403	1	1
OG0000404	1	1
OG0000405	1	1
OG0000406	2	2
OG0000407	2	2
OG0000408	1	1
OG0000409	1	1
OG0000410	1	1
OG0000411	1	1
OG0000412	1	1
OG0000413	2	2
OG0000414	2	2
OG0000415	2	2
OG0000416	1	1
OG0000417	2	2
OG0000418	1	1
OG0000419	1	1
OG0000420	1	1
OG0000421	2	2
OG0000422	1	1
OG0000423	1	1
OG0000424	2	2
OG0000425	2	2
OG0000426	1	1
OG0000427	1	1
OG0000428	2	2
OG0000429	2	2
OG0000430	2	2
OG0000431	2	2
OG0000432	1	1
OG0000433	1	1
OG0000434	2	2
OG0000435	1	1
OG0000436	1	1
OG0000437	2	2
OG0000438	2	2
OG0000439	1	1
OG0000440	1	1
OG0000441	2	2
OG0000442	1	1
OG0000443	2	2
OG0000444	2	2
OG0000445	2	2
OG0000446	1	1
OG0000447	2	2
OG0000448	2	2
OG0000449	2	2
OG0000450	2	2
OG0000451	2	2
OG0000452	2	2
OG0000453	2	2
OG0000454	2	2
OG0000455	2	2
OG0000456	2	2
OG0000457	2	2
OG0000458	2	2
OG0000459	2	2
OG0000460	2	2
OG0000461	1	1
OG0000462	1	1
OG0000463	2	2
OG0000464	2	2
OG0000465	1	1
OG0000466	2	2
OG0000467	2	2
OG0000468	2	2
OG0000469	1	1
OG0000470	2	2
OG0000471	1	1
OG0000472	2	2
OG0000473	1	1
OG0000474	1	1
OG0000475	2	2
OG0000476	2	2
OG0000477	1	1
OG0000478	1	1
OG0000479	1	1
