Orthogroup	uniProt.taxonomy_id_500485	53503-Pc.singCopy
OG0000005	Pc16g14360	53503-Pc.00g086080.m01.polypeptide.OG0005575
OG0000005	Pc13g04560, Pc12g08230, Pc21g14120, Pc16g04910, Pc21g07320, Pc22g08250, Pc14g00940, Pc21g13480, Pc21g12420, Pc14g00430, Pc22g23520, Pc21g15420, Pc20g01760, Pc13g09900, Pc16g10850, Pc12g06260, Pc20g02450, Pc22g23580, Pc12g11120, Pc06g01010, Pc12g10360, Pc13g03930, Pc16g13890, Pc22g23720, Pc12g03500, Pc16g14370, Pc12g02460, Pc20g06610, Pc16g10710, Pc16g04060, Pc20g03430	53503-Pc.00g014330.m01.polypeptide.OG0005494
OG0000007	Pc16g13950	53503-Pc.00g038410.m01.polypeptide.OG0003121
OG0000007	Pc21g05850, Pc22g00100, Pc14g00060, Pc21g22740, Pc20g14110, Pc12g13630, Pc12g07380, Pc13g06900, Pc22g20030, Pc22g13740, Pc16g05910, Pc21g05810, Pc20g09800, Pc13g04430, Pc21g04580, Pc22g14520, Pc22g09570, Pc21g21530, Pc20g10810, Pc12g01830, Pc21g00890, Pc12g13800, Pc13g10640	53503-Pc.00g003300.m01.polypeptide.OG0001789
OG0000007	Pc12g02660, Pc21g10940	53503-Pc.00g020070.m01.polypeptide.OG0002212
OG0000011	Pc15g01140	53503-Pc.00g049280.m01.polypeptide.OG0004073
OG0000011	Pc21g04180, Pc21g18730, Pc12g00230, Pc22g14420, Pc21g17720, Pc21g23860, Pc21g23830, Pc22g24960, Pc20g06200, Pc24g01020, Pc14g00400, Pc21g02850, Pc21g01310, Pc21g15850, Pc21g22680, Pc13g10030, Pc21g21950, Pc12g07760, Pc22g22420, Pc22g13520, Pc13g10900, Pc21g19730, Pc12g13550, Pc21g10440, Pc22g24160, Pc13g02280, Pc21g14260	53503-Pc.00g064600.m01.polypeptide.OG0002395
OG0000012	Pc21g02650	53503-Pc.00g083720.m01.polypeptide.OG0005873
OG0000012	Pc22g10030	53503-Pc.00g053290.m01.polypeptide.OG0002947
OG0000012	Pc22g24860, Pc22g17230, Pc18g02760, Pc14g01080, Pc14g01040, Pc06g00180, Pc21g22810	53503-Pc.00g017880.m01.polypeptide.OG0004019
OG0000013	Pc22g13960	53503-Pc.00g061060.m01.polypeptide.OG0004959
OG0000013	Pc21g05730, Pc20g03620, Pc13g11490, Pc13g06780, Pc22g16520, Pc21g05820, Pc16g12190, Pc22g23900, Pc21g11030, Pc20g02280, Pc22g22770, Pc12g02350, Pc22g07780, Pc22g25770, Pc21g17240, Pc20g14850, Pc16g09120, Pc21g05200, Pc22g06220, Pc16g07010, Pc16g03020, Pc22g09410, Pc22g22630, Pc21g05760, Pc20g13720, Pc12g09570	53503-Pc.00g036570.m01.polypeptide.OG0003666
OG0000015	Pc16g11650	53503-Pc.00g096140.m01.polypeptide.OG0003765
OG0000015	Pc21g22770, Pc22g12240, Pc13g11540, Pc12g00890, Pc16g03630, Pc21g06640, Pc13g15950, Pc21g09400, Pc14g02090, Pc12g00380, Pc14g00960, Pc22g16590, Pc20g13590, Pc20g06240, Pc22g17220, Pc12g14670, Pc12g07090, Pc21g18790, Pc13g02240, Pc21g14060, Pc20g11180, Pc16g02210, Pc13g12800	53503-Pc.00g040210.m01.polypeptide.OG0005727
OG0000016	Pc22g15100	53503-Pc.00g031060.m01.polypeptide.OG0006208
OG0000016	Pc13g03300, Pc22g02240, Pc21g14020, Pc22g16190, PCH_Pc13g13710, Pc22g17140, Pc13g05180, Pc12g02500, Pc13g03760, PCH_Pc20g00360, Pc14g00150, Pc12g05510, Pc22g09290, Pc16g03940, Pc12g14370, PCH_Pc21g04450, Pc20g14880, Pc20g06640, Pc12g08690, Pc16g06890, Pc20g04210, Pc22g16860	53503-Pc.00g016710.m01.polypeptide.OG0004988
OG0000023	Pc12g14040, Pc21g13990, Pc21g01340, Pc21g04040, Pc20g01850, Pc22g22890, Pc12g13750, Pc21g13970, Pc21g15460, Pc16g10840, Pc22g07270, Pc12g07370, Pc16g07100, Pc15g00910, Pc21g05060, Pc22g18380, Pc22g17670, Pc21g10230, Pc21g12910, Pc20g04890, Pc16g09880, Pc20g06550	53503-Pc.00g085250.m01.polypeptide.OG0003943
